county,pct_agricultural_1910,year,sentences,population_black,population_white,plantation_belt
levy,18.5,1907,8,4293.5,5540.1,0
liberty,12,1907,1,1926.8,2250,0
madison,54.7,1907,3,9258.9,7218.2,1
manatee,7.3,1907,2,1779.6,6304.299999999999,0
marion,20.7,1907,10,15978.7,10200.9,0
monroe,0.7,1907,16,5840.5,14647.6,0
nassau,30.2,1907,7,5415.4,4847.4,0
orange,15.3,1907,1,6533,10254.1,0
osceola,8.2,1907,2,778.2,4109.9,0
palm beach,0,1907,NA,NA,NA,0
pasco,9.9,1907,2,2222.9,4844.7,0
polk,15.1,1907,9,6091,14553.9,0
putnam,16,1907,6,6451.9,6206.7,0
santa rosa,10,1907,8,3703.6,9812.2,0
st. johns,8,1907,23,4907.6,7086.3,0
st. lucie,2,1907,2,NA,NA,0
sumter,20.5,1907,2,2262.5,4280.8,0
suwannee,61.7,1907,16,7442.2,9946.1,1
taylor,9.6,1907,4,2013.6999999999998,4158.1,0
volusia,9.1,1907,7,5661.299999999999,8896.3,0
wakulla,16.5,1907,7,2505.8,2400.3,0
walton,12.8,1907,4,4109.6,10216.2,0
washington,15.4,1907,8,4281.3,10247,0
alachua,34,1908,20,19067.4,14825.4,1
baker,10.5,1908,2,1165.4,3581.8,0
bradford,30.1,1908,2,3736.6,9594.4,0
brevard,3.9,1908,3,1355.8,3450.4,0
calhoun,10.8,1908,2,2120,4878.4,0
citrus,5.8,1908,2,3435.4,3027.6,0
clay,8.1,1908,8,2329.6,3690.2,0
columbia,42.8,1908,7,8593.8,8977.2,1
dade,2.4,1908,17,3639.6,6896.8,0
de soto,6.5,1908,4,2024,10945.2,0
duval,22,1908,81,34376.4,33693.600000000006,0
escambia,16.8,1908,26,14485,21600,0
franklin,3.5,1908,4,2440.4,2698.4,0
gadsden,62.9,1908,13,13945.6,6871.6,1
hamilton,48.7,1908,2,5501.6,6334.6,1
hernando,8,1908,4,2587.8,2137.4,0
hillsborough,13.4,1908,31,14892.400000000001,55002.4,0
holmes,44.7,1908,4,1211.4,9586.6,1
jackson,60.8,1908,18,13862,14670.2,1
jefferson,44.1,1908,6,13015.2,3991.8,1
lafayette,12.8,1908,3,1241.4,5124,0
lake,16.7,1908,3,3429.2,5671.4,0
lee,2.1,1908,0,816.4000000000001,4833,0
leon,43.1,1908,9,14983.8,4534.8,1
levy,18.5,1908,6,4438,5571.4,0
liberty,12,1908,1,1988.2,2363,0
madison,54.7,1908,2,9309.6,7314.8,1
manatee,7.3,1908,6,1968.4,6604.200000000001,0
marion,20.7,1908,14,16111.8,10321.6,0
monroe,0.7,1908,11,5848,14998.4,0
nassau,30.2,1908,12,5461.6,4888.6,0
orange,15.3,1908,6,6891,10669.4,0
osceola,8.2,1908,1,827.8,4266.6,0
palm beach,0,1908,NA,NA,NA,0
pasco,9.9,1908,5,2300.6,4911.8,0
polk,15.1,1908,17,6540,15272.6,0
putnam,16,1908,9,6570.6,6233.8,0
santa rosa,10,1908,3,3880.4,10095.8,0
st. johns,8,1908,27,5091.4,7307.2,0
st. lucie,2,1908,3,NA,NA,0
sumter,20.5,1908,0,2260,4334.2,0
suwannee,61.7,1908,6,7565.8,10227.4,1
taylor,9.6,1908,8,2238.8,4243.4,0
volusia,9.1,1908,13,5975.200000000001,9233.2,0
wakulla,16.5,1908,2,2465.2,2406.2,0
walton,12.8,1908,17,4405.4,10631.8,0
washington,15.4,1908,4,4509.2,10644,0
alachua,34,1909,30,19080.2,15018.7,1
baker,10.5,1909,0,1162.2,3613.9,0
bradford,30.1,1909,1,3862.8,9847.7,0
brevard,3.9,1909,6,1380.9,3380.7,0
calhoun,10.8,1909,3,2130,5101.7,0
citrus,5.8,1909,11,3535.2,3061.8,0
clay,8.1,1909,7,2391.8,3676.1,0
columbia,42.8,1909,10,8502.9,9127.1,1
dade,2.4,1909,10,3919.3,7315.4,0
de soto,6.5,1909,7,2193,11391.6,0
duval,22,1909,75,35870.7,35745.8,0
escambia,16.8,1909,18,14805,22252,0
franklin,3.5,1909,4,2465.2,2704.7,0
gadsden,62.9,1909,17,14456.8,7050.8,1
hamilton,48.7,1909,2,5517.3,6313.3,1
hernando,8,1909,3,2684.4,2176.7,0
hillsborough,13.4,1909,25,15697.7,58436.7,0
holmes,44.7,1909,1,1202.7,9974.8,1
jackson,60.8,1909,8,14058.5,15118.1,1
jefferson,44.1,1909,2,13064.6,4043.9,1
lafayette,12.8,1909,2,1301.2,5236.5,0
lake,16.7,1909,8,3528.1,5776.7,0
lee,2.1,1909,1,876.7,5095,0
leon,43.1,1909,8,14856.9,4615.9,1
levy,18.5,1909,10,4582.5,5602.7,0
liberty,12,1909,3,2049.6,2476,0
madison,54.7,1909,2,9360.3,7411.4,1
manatee,7.3,1909,4,2157.2,6904.1,0
marion,20.7,1909,11,16244.9,10442.3,0
monroe,0.7,1909,4,5855.5,15349.2,0
nassau,30.2,1909,5,5507.8,4929.8,0
orange,15.3,1909,5,7249,11084.7,0
osceola,8.2,1909,5,877.4000000000001,4423.3,0
palm beach,0,1909,0,NA,NA,0
pasco,9.9,1909,7,2378.3,4978.9,0
polk,15.1,1909,10,6989,15991.3,0
putnam,16,1909,13,6689.3,6260.9,0
santa rosa,10,1909,2,4057.2,10379.4,0
st. johns,8,1909,23,5275.2,7528.1,0
st. lucie,2,1909,2,NA,NA,0
sumter,20.5,1909,2,2257.5,4387.6,0
suwannee,61.7,1909,9,7689.4,10508.7,1
taylor,9.6,1909,5,2463.9,4328.7,0
volusia,9.1,1909,13,6289.1,9570.1,0
wakulla,16.5,1909,6,2424.6,2412.1,0
walton,12.8,1909,13,4701.200000000001,11047.4,0
washington,15.4,1909,3,4737.1,11041,0
alachua,34,1910,15,19093,15212,1
baker,10.5,1910,4,1159,3646,0
bradford,30.1,1910,2,3989,10101,0
brevard,3.9,1910,9,1406,3311,0
calhoun,10.8,1910,0,2140,5325,0
citrus,5.8,1910,7,3635,3096,0
clay,8.1,1910,11,2454,3662,0
columbia,42.8,1910,5,8412,9277,1
dade,2.4,1910,18,4199,7734,0
de soto,6.5,1910,1,2362,11838,0
duval,22,1910,84,37365,37798,0
escambia,16.8,1910,14,15125,22904,0
franklin,3.5,1910,4,2490,2711,0
gadsden,62.9,1910,4,14968,7230,1
hamilton,48.7,1910,4,5533,6292,1
hernando,8,1910,2,2781,2216,0
hillsborough,13.4,1910,17,16503,61871,0
holmes,44.7,1910,4,1194,10363,1
jackson,60.8,1910,6,14255,15566,1
jefferson,44.1,1910,7,13114,4096,1
lafayette,12.8,1910,3,1361,5349,0
lake,16.7,1910,8,3627,5882,0
lee,2.1,1910,3,937,5357,0
leon,43.1,1910,9,14730,4697,1
levy,18.5,1910,8,4727,5634,0
liberty,12,1910,2,2111,2589,0
madison,54.7,1910,6,9411,7508,1
manatee,7.3,1910,5,2346,7204,0
marion,20.7,1910,23,16378,10563,0
monroe,0.7,1910,12,5863,15700,0
nassau,30.2,1910,11,5554,4971,0
orange,15.3,1910,12,7607,11500,0
osceola,8.2,1910,3,927,4580,0
palm beach,0,1910,2,2263,3314,0
pasco,9.9,1910,7,2456,5046,0
polk,15.1,1910,6,7438,16710,0
putnam,16,1910,13,6808,6288,0
santa rosa,10,1910,5,4234,10663,0
st. johns,8,1910,17,5459,7749,0
st. lucie,2,1910,0,865,3210,0
sumter,20.5,1910,0,2255,4441,0
suwannee,61.7,1910,14,7813,10790,1
taylor,9.6,1910,7,2689,4414,0
volusia,9.1,1910,17,6603,9907,0
wakulla,16.5,1910,5,2384,2418,0
walton,12.8,1910,21,4997,11463,0
washington,15.4,1910,5,4965,11438,0
alachua,34,1911,14,18641.2,15402.2,1
baker,10.5,1911,3,1185.3,3701.4,0
bradford,30.1,1911,NA,3939.3,9992,0
brevard,3.9,1911,8,1515.3,3580.5,0
calhoun,10.8,1911,3,2166.8,5429.2,0
citrus,5.8,1911,10,3524,3055.9,0
clay,8.1,1911,6,2415.8,3650.7,0
columbia,42.8,1911,3,8270.7,9078.4,1
dade,2.4,1911,10,5056.1,9958.9,0
de soto,6.5,1911,5,2561.3,12762.1,0
duval,22,1911,97,38437.2,40563.5,0
escambia,16.8,1911,17,15137.4,24027.3,0
franklin,3.5,1911,4,2489.8,2722.9,0
gadsden,62.9,1911,12,14952.4,7379.7,1
hamilton,48.7,1911,3,5406,6223.8,1
hernando,8,1911,3,2685.4,2266.7,0
hillsborough,13.4,1911,22,16515.5,62846.8,0
holmes,44.7,1911,4,1178,10508.3,1
jackson,60.8,1911,7,14161.7,15799.6,1
jefferson,44.1,1911,3,12854.7,4084.5,1
lafayette,12.8,1911,3,1336.2,5327,0
lake,16.7,1911,3,3646,6186.5,0
lee,2.1,1911,2,994.6,5624,0
leon,43.1,1911,13,14473.7,4816.5,1
levy,18.5,1911,7,4650.3,5666.7,0
liberty,12,1911,2,2124.1,2606.5,0
madison,54.7,1911,6,9319.4,7559.3,1
manatee,7.3,1911,4,2692.5,7773.7,0
marion,20.7,1911,15,16029,10614.7,0
monroe,0.7,1911,4,5710.9,15650.8,0
nassau,30.2,1911,12,5501.6,5104.9,0
orange,15.3,1911,8,7393,11792.3,0
osceola,8.2,1911,5,946.6,4729.2,0
palm beach,0,1911,5,2597.9,4286.8,0
pasco,9.9,1911,6,2420.2,5211.8,0
polk,15.1,1911,14,7630.1,17969.2,0
putnam,16,1911,16,6801.8,6441.4,0
santa rosa,10,1911,9,4095.5,10678.8,0
st. johns,8,1911,26,5385.7,7807.6,0
st. lucie,2,1911,4,970.4,3485.7,0
sumter,20.5,1911,3,2251.3,4560.2,0
suwannee,61.7,1911,4,7826.4,10895.2,1
taylor,9.6,1911,3,2874.9,4639.7,0
volusia,9.1,1911,14,6764.2,10432.2,0
wakulla,16.5,1911,1,2381.7,2453,0
walton,12.8,1911,23,4740.4,11285.5,0
washington,15.4,1911,4,4764.2,11181.3,0
alachua,34,1912,19,18189.4,15592.4,1
baker,10.5,1912,1,1211.6,3756.8,0
bradford,30.1,1912,3,3889.6,9883,0
brevard,3.9,1912,8,1624.6,3850,0
calhoun,10.8,1912,4,2193.6,5533.4,0
citrus,5.8,1912,4,3413,3015.8,0
clay,8.1,1912,6,2377.6,3639.4,0
columbia,42.8,1912,7,8129.4,8879.8,1
dade,2.4,1912,16,5913.2,12183.8,0
de soto,6.5,1912,2,2760.6,13686.2,0
duval,22,1912,113,39509.4,43329,0
escambia,16.8,1912,28,15149.8,25150.6,0
franklin,3.5,1912,2,2489.6,2734.8,0
gadsden,62.9,1912,19,14936.8,7529.4,1
hamilton,48.7,1912,5,5279,6155.6,1
hernando,8,1912,7,2589.8,2317.4,0
hillsborough,13.4,1912,30,16528,63822.6,0
holmes,44.7,1912,2,1162,10653.6,1
jackson,60.8,1912,11,14068.4,16033.2,1
jefferson,44.1,1912,4,12595.4,4073,1
lafayette,12.8,1912,3,1311.4,5305,0
lake,16.7,1912,4,3665,6491,0
lee,2.1,1912,NA,1052.2,5891,0
leon,43.1,1912,17,14217.4,4936,1
levy,18.5,1912,7,4573.6,5699.4,0
liberty,12,1912,7,2137.2,2624,0
madison,54.7,1912,NA,9227.8,7610.6,1
manatee,7.3,1912,6,3039,8343.4,0
marion,20.7,1912,21,15680,10666.4,0
monroe,0.7,1912,8,5558.8,15601.6,0
nassau,30.2,1912,6,5449.2,5238.8,0
orange,15.3,1912,10,7179,12084.6,0
osceola,8.2,1912,7,966.2,4878.4,0
palm beach,0,1912,3,2932.8,5259.6,0
pasco,9.9,1912,4,2384.4,5377.6,0
polk,15.1,1912,17,7822.2,19228.4,0
putnam,16,1912,13,6795.6,6594.8,0
santa rosa,10,1912,10,3957,10694.6,0
st. johns,8,1912,22,5312.4,7866.2,0
st. lucie,2,1912,4,1075.8,3761.4,0
sumter,20.5,1912,4,2247.6,4679.4,0
suwannee,61.7,1912,6,7839.8,11000.4,1
taylor,9.6,1912,7,3060.8,4865.4,0
volusia,9.1,1912,15,6925.4,10957.4,0
wakulla,16.5,1912,6,2379.4,2488,0
walton,12.8,1912,11,4483.8,11108,0
washington,15.4,1912,4,4563.4,10924.6,0
alachua,34,1913,18,17737.6,15782.6,1
baker,10.5,1913,0,1237.9,3812.2,0
bradford,30.1,1913,6,3839.9,9774,0
brevard,3.9,1913,7,1733.9,4119.5,0
calhoun,10.8,1913,9,2220.4,5637.6,0
citrus,5.8,1913,5,3302,2975.7,0
clay,8.1,1913,6,2339.4,3628.1,0
columbia,42.8,1913,0,7988.1,8681.2,1
dade,2.4,1913,14,6770.299999999999,14408.7,0
de soto,6.5,1913,16,2959.9,14610.3,0
duval,22,1913,112,40581.6,46094.5,0
escambia,16.8,1913,7,15162.2,26273.9,0
franklin,3.5,1913,1,2489.4,2746.7,0
gadsden,62.9,1913,9,14921.2,7679.1,1
hamilton,48.7,1913,6,5152,6087.4,1
hernando,8,1913,4,2494.2,2368.1,0
hillsborough,13.4,1913,22,16540.5,64798.4,0
holmes,44.7,1913,3,1146,10798.9,1
jackson,60.8,1913,7,13975.1,16266.8,1
jefferson,44.1,1913,7,12336.1,4061.5,1
lafayette,12.8,1913,1,1286.6,5283,0
lake,16.7,1913,9,3684,6795.5,0
lee,2.1,1913,9,1109.8,6158,0
leon,43.1,1913,14,13961.1,5055.5,1
levy,18.5,1913,8,4496.9,5732.1,0
liberty,12,1913,2,2150.3,2641.5,0
madison,54.7,1913,4,9136.2,7661.9,1
manatee,7.3,1913,14,3385.5,8913.1,0
marion,20.7,1913,27,15331,10718.1,0
monroe,0.7,1913,5,5406.7,15552.4,0
nassau,30.2,1913,4,5396.8,5372.7,0
orange,15.3,1913,9,6965,12376.9,0
osceola,8.2,1913,5,985.8,5027.6,0
palm beach,0,1913,9,3267.7,6232.4,0
pasco,9.9,1913,9,2348.6,5543.4,0
polk,15.1,1913,14,8014.3,20487.6,0
putnam,16,1913,16,6789.4,6748.2,0
santa rosa,10,1913,9,3818.5,10710.4,0
st. johns,8,1913,15,5239.1,7924.8,0
st. lucie,2,1913,4,1181.2,4037.1,0
sumter,20.5,1913,2,2243.9,4798.6,0
suwannee,61.7,1913,4,7853.2,11105.6,1
taylor,9.6,1913,6,3246.7,5091.1,0
volusia,9.1,1913,17,7086.6,11482.6,0
wakulla,16.5,1913,2,2377.1,2523,0
walton,12.8,1913,14,4227.2,10930.5,0
washington,15.4,1913,10,4362.6,10667.9,0
alachua,34,1914,25,17285.8,15972.8,1
baker,10.5,1914,1,1264.2,3867.6,0
bradford,30.1,1914,10,3790.2,9665,0
brevard,3.9,1914,4,1843.2,4389,0
calhoun,10.8,1914,10,2247.2,5741.8,0
citrus,5.8,1914,9,3191,2935.6,0
clay,8.1,1914,3,2301.2,3616.8,0
columbia,42.8,1914,2,7846.8,8482.6,1
dade,2.4,1914,12,7627.4,16633.6,0
de soto,6.5,1914,21,3159.2,15534.4,0
duval,22,1914,105,41653.8,48860,0
escambia,16.8,1914,32,15174.6,27397.2,0
franklin,3.5,1914,1,2489.2,2758.6,0
gadsden,62.9,1914,1,14905.6,7828.8,1
hamilton,48.7,1914,8,5025,6019.2,1
hernando,8,1914,4,2398.6,2418.8,0
hillsborough,13.4,1914,30,16553,65774.2,0
holmes,44.7,1914,14,1130,10944.2,1
jackson,60.8,1914,18,13881.8,16500.4,1
jefferson,44.1,1914,0,12076.8,4050,1
lafayette,12.8,1914,1,1261.8,5261,0
lake,16.7,1914,14,3703,7100,0
lee,2.1,1914,9,1167.4,6425,0
leon,43.1,1914,10,13704.8,5175,1
levy,18.5,1914,5,4420.2,5764.8,0
liberty,12,1914,2,2163.4,2659,0
madison,54.7,1914,1,9044.6,7713.2,1
manatee,7.3,1914,5,3732,9482.8,0
marion,20.7,1914,17,14982,10769.8,0
monroe,0.7,1914,12,5254.6,15503.2,0
nassau,30.2,1914,5,5344.4,5506.6,0
orange,15.3,1914,7,6751,12669.2,0
osceola,8.2,1914,5,1005.4,5176.8,0
palm beach,0,1914,15,3602.6000000000004,7205.200000000001,0
pasco,9.9,1914,8,2312.8,5709.2,0
polk,15.1,1914,13,8206.4,21746.8,0
putnam,16,1914,13,6783.2,6901.6,0
santa rosa,10,1914,9,3680,10726.2,0
st. johns,8,1914,17,5165.8,7983.4,0
st. lucie,2,1914,5,1286.6,4312.8,0
sumter,20.5,1914,4,2240.2,4917.8,0
suwannee,61.7,1914,7,7866.6,11210.8,1
taylor,9.6,1914,2,3432.6,5316.8,0
volusia,9.1,1914,23,7247.8,12007.8,0
wakulla,16.5,1914,1,2374.8,2558,0
walton,12.8,1914,6,3970.6,10753,0
washington,15.4,1914,9,4161.8,10411.2,0
alachua,34,1915,20,16834,16163,1
baker,10.5,1915,2,1290.5,3923,0
bradford,30.1,1915,10,3740.5,9556,0
brevard,3.9,1915,9,1952.5,4658.5,0
calhoun,10.8,1915,3,2274,5846,0
citrus,5.8,1915,10,3080,2895.5,0
clay,8.1,1915,10,2263,3605.5,0
columbia,42.8,1915,13,7705.5,8284,1
dade,2.4,1915,9,8484.5,18858.5,0
de soto,6.5,1915,10,3358.5,16458.5,0
duval,22,1915,115,42726,51625.5,0
escambia,16.8,1915,23,15187,28520.5,0
franklin,3.5,1915,10,2489,2770.5,0
gadsden,62.9,1915,16,14890,7978.5,1
hamilton,48.7,1915,13,4898,5951,1
hernando,8,1915,2,2303,2469.5,0
hillsborough,13.4,1915,35,16565.5,66750,0
holmes,44.7,1915,5,1114,11089.5,1
jackson,60.8,1915,25,13788.5,16734,1
jefferson,44.1,1915,8,11817.5,4038.5,1
lafayette,12.8,1915,2,1237,5239,0
lake,16.7,1915,9,3722,7404.5,0
lee,2.1,1915,7,1225,6692,0
leon,43.1,1915,15,13448.5,5294.5,1
levy,18.5,1915,9,4343.5,5797.5,0
liberty,12,1915,6,2176.5,2676.5,0
madison,54.7,1915,4,8953,7764.5,1
manatee,7.3,1915,14,4078.5,10052.5,0
marion,20.7,1915,21,14633,10821.5,0
monroe,0.7,1915,5,5102.5,15454,0
nassau,30.2,1915,5,5292,5640.5,0
orange,15.3,1915,19,6537,12961.5,0
osceola,8.2,1915,1,1025,5326,0
palm beach,0,1915,19,3937.5,8178,0
pasco,9.9,1915,4,2277,5875,0
polk,15.1,1915,16,8398.5,23006,0
putnam,16,1915,17,6777,7055,0
santa rosa,10,1915,5,3541.5,10742,0
st. johns,8,1915,13,5092.5,8042,0
st. lucie,2,1915,2,1392,4588.5,0
sumter,20.5,1915,9,2236.5,5037,0
suwannee,61.7,1915,16,7880,11316,1
taylor,9.6,1915,4,3618.5,5542.5,0
volusia,9.1,1915,23,7409,12533,0
wakulla,16.5,1915,5,2372.5,2593,0
walton,12.8,1915,4,3714,10575.5,0
washington,15.4,1915,11,3961,10154.5,0
alachua,34,1916,18,16382.2,16353.2,1
baker,10.5,1916,1,1316.8,3978.4,0
bradford,30.1,1916,7,3690.8,9447,0
brevard,3.9,1916,8,2061.8,4928,0
calhoun,10.8,1916,7,2300.8,5950.2,0
citrus,5.8,1916,3,2969,2855.4,0
clay,8.1,1916,7,2224.8,3594.2,0
columbia,42.8,1916,10,7564.2,8085.4,1
dade,2.4,1916,4,9341.599999999999,21083.4,0
de soto,6.5,1916,2,3557.8,17382.6,0
duval,22,1916,79,43798.2,54391,0
escambia,16.8,1916,35,15199.4,29643.8,0
franklin,3.5,1916,4,2488.8,2782.4,0
gadsden,62.9,1916,9,14874.4,8128.2,1
hamilton,48.7,1916,7,4771,5882.8,1
hernando,8,1916,3,2207.4,2520.2,0
hillsborough,13.4,1916,28,16578,67725.8,0
holmes,44.7,1916,4,1098,11234.8,1
jackson,60.8,1916,22,13695.2,16967.6,1
jefferson,44.1,1916,6,11558.2,4027,1
lafayette,12.8,1916,3,1212.2,5217,0
lake,16.7,1916,6,3741,7709,0
lee,2.1,1916,7,1282.6,6959,0
leon,43.1,1916,14,13192.2,5414,1
levy,18.5,1916,7,4266.8,5830.2,0
liberty,12,1916,0,2189.6,2694,0
madison,54.7,1916,8,8861.4,7815.8,1
manatee,7.3,1916,8,4425,10622.2,0
marion,20.7,1916,22,14284,10873.2,0
monroe,0.7,1916,3,4950.4,15404.8,0
nassau,30.2,1916,4,5239.6,5774.4,0
orange,15.3,1916,7,6323,13253.8,0
osceola,8.2,1916,1,1044.6,5475.2,0
palm beach,0,1916,11,4272.4,9150.8,0
pasco,9.9,1916,4,2241.2,6040.8,0
polk,15.1,1916,17,8590.6,24265.2,0
putnam,16,1916,11,6770.8,7208.4,0
santa rosa,10,1916,4,3403,10757.8,0
st. johns,8,1916,11,5019.2,8100.6,0
st. lucie,2,1916,4,1497.4,4864.2,0
sumter,20.5,1916,0,2232.8,5156.2,0
suwannee,61.7,1916,5,7893.4,11421.2,1
taylor,9.6,1916,5,3804.3999999999996,5768.2,0
volusia,9.1,1916,15,7570.2,13058.2,0
wakulla,16.5,1916,1,2370.2,2628,0
walton,12.8,1916,9,3457.4,10398,0
washington,15.4,1916,7,3760.2,9897.8,0
alachua,34,1917,21,15930.4,16543.4,1
baker,10.5,1917,1,1343.1,4033.8,0
bradford,30.1,1917,15,3641.1,9338,0
brevard,3.9,1917,9,2171.1,5197.5,0
calhoun,10.8,1917,1,2327.6,6054.4,0
citrus,5.8,1917,2,2858,2815.3,0
clay,8.1,1917,3,2186.6,3582.9,0
columbia,42.8,1917,9,7422.9,7886.8,1
dade,2.4,1917,21,10198.7,23308.3,0
de soto,6.5,1917,24,3757.1,18306.7,0
duval,22,1917,93,44870.4,57156.5,0
escambia,16.8,1917,19,15211.8,30767.1,0
franklin,3.5,1917,4,2488.6,2794.3,0
gadsden,62.9,1917,2,14858.8,8277.9,1
hamilton,48.7,1917,4,4644,5814.6,1
hernando,8,1917,8,2111.8,2570.9,0
hillsborough,13.4,1917,19,16590.5,68701.6,0
holmes,44.7,1917,5,1082,11380.1,1
jackson,60.8,1917,23,13601.9,17201.2,1
jefferson,44.1,1917,1,11298.9,4015.5,1
lafayette,12.8,1917,0,1187.4,5195,0
lake,16.7,1917,4,3760,8013.5,0
lee,2.1,1917,5,1340.2,7226,0
leon,43.1,1917,8,12935.9,5533.5,1
levy,18.5,1917,4,4190.1,5862.9,0
liberty,12,1917,1,2202.7,2711.5,0
