county,pop_black_1900,pop_amerindian_1900,pop_white_1900,pop_1900,pop_black_1910,pop_other_1910,pop_white_1910,pop_1910,pop_black_1920,pop_other_1920,pop_foreign_white_1920,pop_native_white_1920,pop_1920,sentences_1925,sentences_1924,sentences_1923,sentences_1922,sentences_1921,sentences_1920,sentences_1919,sentences_1918,sentences_1917,sentences_1916,sentences_1915,sentences_1914,sentences_1913,sentences_1912,sentences_1911,sentences_1910,sentences_1909,sentences_1908,sentences_1907,sentences_1906,sentences_1905,pct_agricultural_1910
lake,2636,2,4829,7467,3627,0,5882,9509,3817,0,441,8486,12744,4,7,9,8,4,1,5,3,4,6,9,14,9,4,3,8,8,3,9,6,6,16.7
lee,188,146,2737,3071,937,0,5357,6294,1247,266,434,7593,9540,9,4,8,5,8,2,3,0,5,7,7,9,9,NA,2,3,1,0,2,1,2,2.1
leon,15999,0,3886,19887,14726,4,4697,19427,12167,0,99,5793,18059,9,3,5,5,17,8,4,2,8,14,15,10,14,17,13,9,8,9,12,6,13,43.1
levy,3282,0,5321,8603,4727,0,5634,10361,3960,0,37,5924,9921,3,1,5,6,4,0,6,3,4,7,9,5,8,7,7,8,10,6,8,2,8,18.5
liberty,1497,0,1459,2956,2111,0,2589,4700,2242,0,6,2758,5006,6,1,2,1,4,3,4,3,1,0,6,2,2,7,2,2,3,1,1,1,2,12
madison,8904,0,6542,15446,9410,1,7508,16919,8492,3,13,8008,16516,5,3,3,5,6,2,9,1,7,8,4,1,4,NA,6,6,2,2,3,3,1,54.7
manatee,458,0,4205,4663,2346,0,7204,9550,5804,7,456,12445,18712,8,15,14,8,14,16,5,8,8,8,14,5,14,6,4,5,4,6,2,3,5,7.3
marion,15047,0,9356,24403,16376,2,10563,26941,12887,1,382,10698,23968,6,10,14,24,9,11,8,5,15,22,21,17,27,21,15,23,11,14,10,8,9,20.7
martin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dade,1293,109,3548,4955,4194,5,7734,11933,12680,90,3385,26598,42753,30,35,31,31,57,52,33,24,21,4,9,12,14,16,10,18,10,17,14,12,14,2.4
monroe,5788,0,12192,18006,5842,21,15700,21563,4315,27,3326,11882,19550,3,3,0,5,11,8,5,5,0,3,5,12,5,8,4,12,4,11,16,8,12,0.7
nassau,5092,0,4559,9651,5553,1,4971,10525,5029,1,546,5764,11340,2,2,2,2,1,2,1,1,4,4,5,5,4,6,12,11,5,12,7,4,10,30.2
okaloosa,NA,NA,NA,NA,NA,NA,NA,NA,1840,0,47,7473,9360,3,6,5,1,3,5,3,1,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
okeechobee,NA,NA,NA,NA,NA,NA,NA,NA,211,34,33,1854,2132,2,0,0,2,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
